#integral_value,number_of_intervals,quadrature_degree,relative_error
9.797174393178824E-16,1,1,100.00000000000004
-1.7415859327184366,1,2,5.7474631230045246
-0.8367299102396684,1,3,49.19454523333637
-2.077998688497649,1,4,26.174129885489222
-1.9788716762826308,5,1,20.155230747770954
-1.6519855097150151,5,2,0.30700954023448274
-1.5788865478608058,5,3,4.13149081038682
-1.5376663951525502,5,4,6.634339792197923
-1.7337070513569195,10,1,5.2690648421186275
-1.5448113398127044,10,2,6.200505458920891
-1.6602970063282196,10,3,0.8116758131354808
-1.6961608307278877,10,4,2.9892935676806687
-1.5920352676987584,20,1,3.3331128836609984
-1.6867014875456885,20,2,2.414931128518056
-1.660063550711194,20,3,0.7975006071990516
-1.6424487969528077,20,4,0.27205070720451796
-1.6559889223310587,50,1,0.5500929965417047
-1.6461081817355898,50,2,0.049856298016727245
-1.646574880218187,50,3,0.021518804212460614
-1.6469402866221754,50,4,6.683296548644699E-4
-1.6485783668844673,100,1,0.10013102562350769
-1.6468882800667737,100,2,0.002489459574010048
-1.6469113216530784,100,3,0.0010903960812017844
-1.6469295465405243,100,4,1.620197801240035E-5
-1.6473108017711788,200,1,0.023165661724260465
-1.646926967385896,200,2,1.404018701366869E-4
-1.6469282559724612,200,3,6.216010340706096E-5
-1.646929283716642,200,4,2.435585798222643E-7
-1.6469890832427567,500,1,0.003631214654398554
-1.6469292222327003,500,2,3.4896886502395332E-6
-1.6469292541779186,500,3,1.5500049830594369E-6
-1.6469292797215256,500,4,9.788583304715865E-10
-1.646944187485315,1000,1,9.051864032194588E-4
-1.6469292761285756,1000,2,2.171816894140222E-7
-1.64692927811599,1000,3,9.650774914717075E-8
-1.6469292797057233,1000,4,1.9360640229153043E-11
-1.6469330039675572,2000,1,2.2613370219135134E-4
-1.6469292794819477,2000,2,1.3568087674798365E-8
-1.6469292796060182,2000,3,6.034641451259042E-9
-1.646929279705272,2000,4,8.048956975490506E-12
-1.6469298754671562,5000,1,3.617409436159619E-5
-1.646929279699526,5000,2,3.569314689600262E-10
-1.646929279702702,5000,3,1.6409356004806523E-10
-1.6469292797052417,5000,4,9.882555214463217E-12
-1.6469294286414145,10000,1,9.043254728945502E-6
-1.6469292797048614,10000,2,3.2977803621523916E-11
-1.6469292797050596,10000,3,2.0938074008269273E-11
-1.6469292797052186,10000,4,1.1284718573677643E-11
-1.646929316939009,20000,1,2.260789511771354E-6
-1.6469292797052,20000,2,1.2417235133043143E-11
-1.6469292797052126,20000,3,1.1648741753473697E-11
-1.6469292797052222,20000,4,1.10690011337985E-11
