#N,type,distance,time
1,DOUBLE,0.0,8
4,DOUBLE,0.0,6
6,DOUBLE,0.0,5
7,DOUBLE,0.0,6
8,DOUBLE,0.0,6
9,DOUBLE,0.0,7
10,DOUBLE,0.0,8
11,DOUBLE,0.0,10
3,DOUBLE,0.0,2
13,DOUBLE,0.0,13
12,DOUBLE,0.0,12
14,DOUBLE,0.0,15
15,DOUBLE,0.0,19
16,DOUBLE,0.0,21
17,DOUBLE,0.0,22
18,DOUBLE,0.0,27
19,DOUBLE,0.0,27
20,DOUBLE,0.0,28
21,DOUBLE,0.0,31
22,DOUBLE,0.0,34
23,DOUBLE,0.0,65
24,DOUBLE,0.0,69
25,DOUBLE,0.0,45
26,DOUBLE,0.0,47
27,DOUBLE,0.0,52
28,DOUBLE,0.0,62
29,DOUBLE,0.0,58
30,DOUBLE,0.0,48
31,DOUBLE,0.0,48
32,DOUBLE,0.0,51
33,DOUBLE,0.0,58
36,DOUBLE,0.0,66
34,DOUBLE,0.0,59
35,DOUBLE,0.0,65
37,DOUBLE,0.0,53
38,DOUBLE,0.0,42
39,DOUBLE,0.0,45
40,DOUBLE,0.0,35
41,DOUBLE,0.0,38
42,DOUBLE,0.0,39
43,DOUBLE,0.0,41
44,DOUBLE,0.0,42
45,DOUBLE,0.0,46
46,DOUBLE,0.0,46
2,DOUBLE,0.0,1
49,DOUBLE,0.0,56
50,DOUBLE,0.0,55
51,DOUBLE,0.0,56
52,DOUBLE,0.0,58
53,DOUBLE,0.0,61
54,DOUBLE,0.0,64
55,DOUBLE,0.0,70
56,DOUBLE,0.0,63
57,DOUBLE,0.0,65
5,DOUBLE,0.0,1
58,DOUBLE,0.0,72
60,DOUBLE,0.0,72
61,DOUBLE,0.0,75
47,DOUBLE,0.0,48
62,DOUBLE,0.0,72
63,DOUBLE,0.0,74
64,DOUBLE,0.0,77
65,DOUBLE,0.0,81
66,DOUBLE,0.0,81
67,DOUBLE,0.0,84
68,DOUBLE,0.0,86
69,DOUBLE,0.0,89
70,DOUBLE,0.0,84
71,DOUBLE,0.0,86
72,DOUBLE,0.0,87
59,DOUBLE,0.0,59
48,DOUBLE,0.0,72
73,DOUBLE,0.0,98
76,DOUBLE,0.0,103
77,DOUBLE,0.0,100
75,DOUBLE,0.0,96
78,DOUBLE,0.0,108
79,DOUBLE,0.0,110
80,DOUBLE,0.0,108
81,DOUBLE,0.0,111
82,DOUBLE,0.0,114
85,DOUBLE,0.0,123
74,DOUBLE,0.0,96
87,DOUBLE,0.0,140
88,DOUBLE,0.0,136
89,DOUBLE,0.0,144
90,DOUBLE,0.0,143
91,DOUBLE,0.0,151
92,DOUBLE,0.0,147
94,DOUBLE,0.0,170
93,DOUBLE,0.0,160
96,DOUBLE,0.0,200
83,DOUBLE,0.0,160
97,DOUBLE,0.0,287
98,DOUBLE,0.0,291
99,DOUBLE,0.0,352
100,DOUBLE,0.0,359
101,DOUBLE,0.0,407
102,DOUBLE,0.0,415
95,DOUBLE,0.0,180
103,DOUBLE,0.0,86
105,DOUBLE,0.0,64
106,DOUBLE,0.0,71
107,DOUBLE,0.0,67
108,DOUBLE,0.0,67
109,DOUBLE,0.0,70
110,DOUBLE,0.0,71
84,DOUBLE,0.0,118
111,DOUBLE,0.0,72
112,DOUBLE,0.0,75
114,DOUBLE,0.0,77
115,DOUBLE,0.0,75
116,DOUBLE,0.0,76
113,DOUBLE,0.0,73
117,DOUBLE,0.0,76
118,DOUBLE,0.0,78
86,DOUBLE,0.0,145
119,DOUBLE,0.0,80
120,DOUBLE,0.0,80
121,DOUBLE,0.0,90
122,DOUBLE,0.0,409
124,DOUBLE,0.0,880
125,DOUBLE,0.0,865
126,DOUBLE,0.0,117
127,DOUBLE,0.0,223
128,DOUBLE,0.0,538
123,DOUBLE,0.0,539
130,DOUBLE,0.0,118
132,DOUBLE,0.0,118
131,DOUBLE,0.0,118
133,DOUBLE,0.0,119
134,DOUBLE,0.0,121
135,DOUBLE,0.0,119
136,DOUBLE,0.0,131
104,DOUBLE,0.0,66
139,DOUBLE,0.0,86
138,DOUBLE,0.0,134
140,DOUBLE,0.0,125
141,DOUBLE,0.0,39
142,DOUBLE,0.0,39
143,DOUBLE,0.0,44
144,DOUBLE,0.0,39
145,DOUBLE,0.0,40
146,DOUBLE,0.0,46
147,DOUBLE,0.0,41
148,DOUBLE,0.0,41
150,DOUBLE,0.0,43
151,DOUBLE,0.0,42
137,DOUBLE,0.0,36
149,DOUBLE,0.0,43
152,DOUBLE,0.0,45
153,DOUBLE,0.0,44
154,DOUBLE,0.0,47
129,DOUBLE,0.0,34
156,DOUBLE,0.0,46
157,DOUBLE,0.0,56
160,DOUBLE,0.0,52
159,DOUBLE,0.0,56
161,DOUBLE,0.0,48
163,DOUBLE,0.0,54
162,DOUBLE,0.0,57
164,DOUBLE,0.0,58
167,DOUBLE,0.0,51
166,DOUBLE,0.0,51
158,DOUBLE,0.0,87
168,DOUBLE,0.0,68
169,DOUBLE,0.0,51
155,DOUBLE,0.0,60
170,DOUBLE,0.0,54
171,DOUBLE,0.0,57
172,DOUBLE,0.0,55
173,DOUBLE,0.0,59
174,DOUBLE,0.0,56
175,DOUBLE,0.0,59
176,DOUBLE,0.0,61
177,DOUBLE,0.0,62
178,DOUBLE,0.0,58
179,DOUBLE,0.0,59
180,DOUBLE,0.0,61
182,DOUBLE,0.0,61
183,DOUBLE,0.0,64
184,DOUBLE,0.0,61
185,DOUBLE,0.0,63
165,DOUBLE,0.0,69
186,DOUBLE,0.0,64
187,DOUBLE,0.0,64
188,DOUBLE,0.0,67
190,DOUBLE,0.0,67
181,DOUBLE,0.0,61
191,DOUBLE,0.0,67
192,DOUBLE,0.0,83
193,DOUBLE,0.0,67
195,DOUBLE,0.0,68
196,DOUBLE,0.0,73
197,DOUBLE,0.0,70
198,DOUBLE,0.0,74
189,DOUBLE,0.0,100
199,DOUBLE,0.0,72
200,DOUBLE,0.0,74
201,DOUBLE,0.0,73
194,DOUBLE,0.0,138
203,DOUBLE,0.0,75
204,DOUBLE,0.0,77
205,DOUBLE,0.0,85
207,DOUBLE,0.0,85
209,DOUBLE,0.0,79
208,DOUBLE,0.0,81
210,DOUBLE,0.0,96
211,DOUBLE,0.0,84
206,DOUBLE,0.0,83
212,DOUBLE,0.0,90
213,DOUBLE,0.0,90
202,DOUBLE,0.0,112
214,DOUBLE,0.0,95
216,DOUBLE,0.0,89
217,DOUBLE,0.0,90
219,DOUBLE,0.0,88
220,DOUBLE,0.0,93
221,DOUBLE,0.0,120
222,DOUBLE,0.0,93
223,DOUBLE,0.0,100
225,DOUBLE,0.0,92
224,DOUBLE,0.0,104
226,DOUBLE,0.0,105
227,DOUBLE,0.0,108
228,DOUBLE,0.0,100
229,DOUBLE,0.0,94
231,DOUBLE,0.0,121
230,DOUBLE,0.0,117
218,DOUBLE,0.0,144
232,DOUBLE,0.0,102
215,DOUBLE,0.0,88
233,DOUBLE,0.0,114
236,DOUBLE,0.0,136
234,DOUBLE,0.0,109
237,DOUBLE,0.0,136
240,DOUBLE,0.0,119
238,DOUBLE,0.0,137
241,DOUBLE,0.0,197
239,DOUBLE,0.0,131
242,DOUBLE,0.0,124
243,DOUBLE,0.0,116
245,DOUBLE,0.0,127
235,DOUBLE,0.0,165
247,DOUBLE,0.0,123
246,DOUBLE,0.0,125
248,DOUBLE,0.0,159
249,DOUBLE,0.0,126
251,DOUBLE,0.0,125
250,DOUBLE,0.0,131
252,DOUBLE,0.0,171
244,DOUBLE,0.0,179
254,DOUBLE,0.0,129
256,DOUBLE,0.0,139
253,DOUBLE,0.0,281
258,DOUBLE,0.0,133
259,DOUBLE,0.0,138
257,DOUBLE,0.0,122
255,DOUBLE,0.0,125
261,DOUBLE,0.0,125
262,DOUBLE,0.0,169
265,DOUBLE,0.0,167
264,DOUBLE,0.0,169
263,DOUBLE,0.0,194
266,DOUBLE,0.0,170
267,DOUBLE,0.0,147
268,DOUBLE,0.0,183
269,DOUBLE,0.0,155
270,DOUBLE,0.0,232
260,DOUBLE,0.0,382
271,DOUBLE,0.0,163
272,DOUBLE,0.0,154
274,DOUBLE,0.0,216
276,DOUBLE,0.0,166
277,DOUBLE,0.0,145
273,DOUBLE,0.0,142
278,DOUBLE,0.0,236
279,DOUBLE,0.0,175
280,DOUBLE,0.0,177
281,DOUBLE,0.0,147
282,DOUBLE,0.0,208
283,DOUBLE,0.0,175
284,DOUBLE,0.0,173
285,DOUBLE,0.0,188
286,DOUBLE,0.0,284
287,DOUBLE,0.0,188
288,DOUBLE,0.0,190
289,DOUBLE,0.0,156
290,DOUBLE,0.0,281
291,DOUBLE,0.0,203
292,DOUBLE,0.0,199
293,DOUBLE,0.0,167
275,DOUBLE,0.0,164
295,DOUBLE,0.0,238
296,DOUBLE,0.0,247
297,DOUBLE,0.0,174
298,DOUBLE,0.0,502
