#N,type,distance,time
3,DOUBLE,0.0,2
6,DOUBLE,0.0,4
5,DOUBLE,0.0,3
7,DOUBLE,0.0,4
9,DOUBLE,0.0,5
10,DOUBLE,0.0,4
8,DOUBLE,0.0,3
11,DOUBLE,0.0,4
1,DOUBLE,0.0,2
13,DOUBLE,0.0,4
14,DOUBLE,0.0,5
15,DOUBLE,0.0,5
16,DOUBLE,0.0,5
17,DOUBLE,0.0,5
18,DOUBLE,0.0,6
19,DOUBLE,0.0,6
20,DOUBLE,0.0,6
21,DOUBLE,0.0,6
2,DOUBLE,0.0,9
22,DOUBLE,0.0,6
23,DOUBLE,0.0,6
24,DOUBLE,0.0,7
25,DOUBLE,0.0,8
26,DOUBLE,0.0,7
27,DOUBLE,0.0,7
28,DOUBLE,0.0,10
29,DOUBLE,0.0,8
30,DOUBLE,0.0,8
31,DOUBLE,0.0,8
32,DOUBLE,0.0,9
33,DOUBLE,0.0,12
34,DOUBLE,0.0,9
36,DOUBLE,0.0,10
35,DOUBLE,0.0,9
37,DOUBLE,0.0,9
38,DOUBLE,0.0,11
39,DOUBLE,0.0,11
40,DOUBLE,0.0,10
41,DOUBLE,0.0,10
42,DOUBLE,0.0,11
43,DOUBLE,0.0,11
44,DOUBLE,0.0,11
45,DOUBLE,0.0,12
46,DOUBLE,0.0,12
47,DOUBLE,0.0,11
49,DOUBLE,0.0,14
48,DOUBLE,0.0,13
4,DOUBLE,0.0,3
50,DOUBLE,0.0,12
52,DOUBLE,0.0,13
53,DOUBLE,0.0,14
54,DOUBLE,0.0,13
55,DOUBLE,0.0,16
56,DOUBLE,0.0,15
58,DOUBLE,0.0,14
60,DOUBLE,0.0,14
57,DOUBLE,0.0,14
61,DOUBLE,0.0,15
63,DOUBLE,0.0,15
64,DOUBLE,0.0,15
65,DOUBLE,0.0,15
62,DOUBLE,0.0,15
66,DOUBLE,0.0,16
67,DOUBLE,0.0,20
68,DOUBLE,0.0,16
70,DOUBLE,0.0,16
71,DOUBLE,0.0,17
72,DOUBLE,0.0,17
12,DOUBLE,0.0,5
51,DOUBLE,0.0,12
75,DOUBLE,0.0,17
76,DOUBLE,0.0,126
77,DOUBLE,0.0,17
78,DOUBLE,0.0,18
79,DOUBLE,0.0,18
80,DOUBLE,0.0,18
81,DOUBLE,0.0,19
74,DOUBLE,0.0,17
59,DOUBLE,0.0,14
83,DOUBLE,0.0,19
84,DOUBLE,0.0,20
85,DOUBLE,0.0,20
86,DOUBLE,0.0,20
87,DOUBLE,0.0,20
88,DOUBLE,0.0,20
89,DOUBLE,0.0,20
90,DOUBLE,0.0,20
91,DOUBLE,0.0,21
92,DOUBLE,0.0,21
93,DOUBLE,0.0,21
94,DOUBLE,0.0,26
82,DOUBLE,0.0,19
96,DOUBLE,0.0,21
97,DOUBLE,0.0,23
98,DOUBLE,0.0,22
95,DOUBLE,0.0,32
101,DOUBLE,0.0,23
100,DOUBLE,0.0,24
102,DOUBLE,0.0,23
103,DOUBLE,0.0,23
104,DOUBLE,0.0,23
105,DOUBLE,0.0,24
99,DOUBLE,0.0,29
107,DOUBLE,0.0,27
108,DOUBLE,0.0,25
109,DOUBLE,0.0,24
110,DOUBLE,0.0,25
111,DOUBLE,0.0,25
106,DOUBLE,0.0,24
114,DOUBLE,0.0,25
113,DOUBLE,0.0,26
112,DOUBLE,0.0,25
116,DOUBLE,0.0,30
117,DOUBLE,0.0,27
118,DOUBLE,0.0,26
119,DOUBLE,0.0,27
120,DOUBLE,0.0,27
121,DOUBLE,0.0,27
122,DOUBLE,0.0,27
123,DOUBLE,0.0,28
124,DOUBLE,0.0,28
115,DOUBLE,0.0,26
126,DOUBLE,0.0,29
127,DOUBLE,0.0,28
128,DOUBLE,0.0,29
129,DOUBLE,0.0,28
130,DOUBLE,0.0,30
125,DOUBLE,0.0,57
73,DOUBLE,0.0,19
133,DOUBLE,0.0,31
134,DOUBLE,0.0,29
135,DOUBLE,0.0,30
69,DOUBLE,0.0,21
136,DOUBLE,0.0,30
137,DOUBLE,0.0,30
138,DOUBLE,0.0,31
139,DOUBLE,0.0,31
140,DOUBLE,0.0,32
141,DOUBLE,0.0,31
143,DOUBLE,0.0,32
