#N,type,distance,time
1,FLOAT,0.0,6
4,FLOAT,0.0,13
6,FLOAT,0.0,5
7,FLOAT,0.0,6
8,FLOAT,0.0,7
9,FLOAT,0.0,8
10,FLOAT,0.0,11
11,FLOAT,0.0,11
3,FLOAT,0.0,3
13,FLOAT,0.0,16
12,FLOAT,0.0,15
14,FLOAT,0.0,18
15,FLOAT,0.0,27
16,FLOAT,0.0,29
17,FLOAT,0.0,27
18,FLOAT,0.0,37
19,FLOAT,0.0,36
20,FLOAT,0.0,35
21,FLOAT,0.0,39
22,FLOAT,0.0,46
23,FLOAT,0.0,77
24,FLOAT,0.0,77
25,FLOAT,0.0,63
26,FLOAT,0.0,89
27,FLOAT,0.0,106
28,FLOAT,0.0,100
29,FLOAT,0.0,33
30,FLOAT,0.0,39
31,FLOAT,0.0,36
32,FLOAT,0.0,40
33,FLOAT,0.0,39
36,FLOAT,0.0,38
34,FLOAT,0.0,54
35,FLOAT,0.0,44
37,FLOAT,0.0,28
38,FLOAT,0.0,29
39,FLOAT,0.0,30
40,FLOAT,0.0,32
41,FLOAT,0.0,34
42,FLOAT,0.0,35
43,FLOAT,0.0,36
44,FLOAT,0.0,38
45,FLOAT,0.0,40
46,FLOAT,0.0,41
2,FLOAT,0.0,1
49,FLOAT,0.0,47
50,FLOAT,0.0,50
51,FLOAT,0.0,50
52,FLOAT,0.0,52
53,FLOAT,0.0,54
54,FLOAT,0.0,59
55,FLOAT,0.0,58
56,FLOAT,0.0,57
57,FLOAT,0.0,58
5,FLOAT,0.0,1
58,FLOAT,0.0,60
60,FLOAT,0.0,64
61,FLOAT,0.0,68
47,FLOAT,0.0,44
62,FLOAT,0.0,63
63,FLOAT,0.0,65
64,FLOAT,0.0,69
65,FLOAT,0.0,69
66,FLOAT,0.0,71
67,FLOAT,0.0,74
68,FLOAT,0.0,75
69,FLOAT,0.0,77
70,FLOAT,0.0,81
71,FLOAT,0.0,82
72,FLOAT,0.0,88
59,FLOAT,0.0,59
48,FLOAT,0.0,51
73,FLOAT,0.0,261
76,FLOAT,0.0,242
77,FLOAT,0.0,61
75,FLOAT,0.0,226
78,FLOAT,0.0,48
79,FLOAT,0.0,43
80,FLOAT,0.0,63
81,FLOAT,0.0,61
82,FLOAT,0.0,59
85,FLOAT,0.0,63
74,FLOAT,0.0,51
87,FLOAT,0.0,96
88,FLOAT,0.0,85
89,FLOAT,0.0,113
90,FLOAT,0.0,119
91,FLOAT,0.0,59
92,FLOAT,0.0,57
94,FLOAT,0.0,120
93,FLOAT,0.0,136
96,FLOAT,0.0,73
83,FLOAT,0.0,66
97,FLOAT,0.0,68
98,FLOAT,0.0,77
99,FLOAT,0.0,117
100,FLOAT,0.0,85
101,FLOAT,0.0,232
102,FLOAT,0.0,236
95,FLOAT,0.0,74
103,FLOAT,0.0,72
105,FLOAT,0.0,71
106,FLOAT,0.0,72
107,FLOAT,0.0,73
108,FLOAT,0.0,74
109,FLOAT,0.0,75
110,FLOAT,0.0,76
84,FLOAT,0.0,71
111,FLOAT,0.0,77
112,FLOAT,0.0,84
114,FLOAT,0.0,91
115,FLOAT,0.0,80
116,FLOAT,0.0,82
113,FLOAT,0.0,78
117,FLOAT,0.0,83
118,FLOAT,0.0,84
