#N,type,distance,time
3,FLOAT,0.0,3
6,FLOAT,0.0,5
5,FLOAT,0.0,4
7,FLOAT,0.0,5
9,FLOAT,0.0,4
10,FLOAT,0.0,4
8,FLOAT,0.0,4
11,FLOAT,0.0,4
4,FLOAT,0.0,4
1,FLOAT,0.0,2
13,FLOAT,0.0,5
14,FLOAT,0.0,5
15,FLOAT,0.0,5
16,FLOAT,0.0,5
17,FLOAT,0.0,5
18,FLOAT,0.0,6
19,FLOAT,0.0,6
20,FLOAT,0.0,6
21,FLOAT,0.0,6
2,FLOAT,0.0,259
22,FLOAT,0.0,7
23,FLOAT,0.0,7
24,FLOAT,0.0,7
25,FLOAT,0.0,7
26,FLOAT,0.0,17
27,FLOAT,0.0,8
28,FLOAT,0.0,10
29,FLOAT,0.0,8
30,FLOAT,0.0,9
31,FLOAT,0.0,8
32,FLOAT,0.0,9
33,FLOAT,0.0,9
34,FLOAT,0.0,10
36,FLOAT,0.0,10
35,FLOAT,0.0,9
37,FLOAT,0.0,11
38,FLOAT,0.0,10
39,FLOAT,0.0,11
40,FLOAT,0.0,10
41,FLOAT,0.0,10
42,FLOAT,0.0,11
43,FLOAT,0.0,11
44,FLOAT,0.0,11
45,FLOAT,0.0,11
46,FLOAT,0.0,12
47,FLOAT,0.0,12
49,FLOAT,0.0,12
48,FLOAT,0.0,13
50,FLOAT,0.0,12
52,FLOAT,0.0,13
53,FLOAT,0.0,13
54,FLOAT,0.0,13
55,FLOAT,0.0,15
56,FLOAT,0.0,14
58,FLOAT,0.0,15
60,FLOAT,0.0,15
57,FLOAT,0.0,14
61,FLOAT,0.0,15
63,FLOAT,0.0,16
64,FLOAT,0.0,16
65,FLOAT,0.0,16
62,FLOAT,0.0,18
66,FLOAT,0.0,17
67,FLOAT,0.0,17
68,FLOAT,0.0,16
70,FLOAT,0.0,18
71,FLOAT,0.0,17
72,FLOAT,0.0,17
12,FLOAT,0.0,8
51,FLOAT,0.0,13
75,FLOAT,0.0,17
76,FLOAT,0.0,17
77,FLOAT,0.0,17
78,FLOAT,0.0,18
