N,precission,numberOfIterations,distance
5,0.001,37,3.888537002999026E-4
5,1.0E-5,54,7.602361277711355E-6
5,1.0000000000000001E-7,87,4.440565006243247E-8
5,1.0E-9,110,4.3424816806406866E-10
15,0.001,42,4.0854069144632266E-4
15,1.0E-5,57,5.052464188916974E-6
15,1.0000000000000001E-7,89,4.292116960610012E-8
15,1.0E-9,117,4.100290747453212E-10
25,0.001,46,4.5443188465811796E-4
25,1.0E-5,67,4.28530423207345E-6
25,1.0000000000000001E-7,87,4.274226865633036E-8
25,1.0E-9,119,4.0939436178630036E-10
35,0.001,45,4.5823843310237165E-4
35,1.0E-5,69,4.091215908133539E-6
35,1.0000000000000001E-7,85,4.141343151629694E-8
35,1.0E-9,120,4.129490655545852E-10
45,0.001,41,4.360127656781838E-4
45,1.0E-5,62,4.240806346224993E-6
45,1.0000000000000001E-7,85,4.480351257509332E-8
45,1.0E-9,116,4.0559118376556585E-10
55,0.001,39,6.140812394841585E-4
55,1.0E-5,58,6.337453522878292E-6
55,1.0000000000000001E-7,95,4.447921702168534E-8
55,1.0E-9,114,4.3954818425551147E-10
65,0.001,40,5.722167774763912E-4
65,1.0E-5,67,4.094599341289626E-6
65,1.0000000000000001E-7,90,4.4565934367582735E-8
65,1.0E-9,119,4.265013836068182E-10
75,0.001,42,4.4143690525980784E-4
75,1.0E-5,69,3.8123409258941606E-6
75,1.0000000000000001E-7,92,4.54596601063146E-8
75,1.0E-9,119,4.435356729989529E-10
85,0.001,41,4.838675756965088E-4
85,1.0E-5,70,4.405292184634888E-6
85,1.0000000000000001E-7,81,4.7081783441251555E-8
85,1.0E-9,113,4.376244426060992E-10
95,0.001,45,4.4405695467894535E-4
95,1.0E-5,66,4.347114480971928E-6
95,1.0000000000000001E-7,86,4.047268523770939E-8
95,1.0E-9,123,3.9503332059012914E-10
105,0.001,40,6.688016910746188E-4
105,1.0E-5,69,4.190700428988131E-6
105,1.0000000000000001E-7,87,4.48541161434008E-8
105,1.0E-9,118,4.221829842932425E-10
115,0.001,42,4.8255828841941716E-4
115,1.0E-5,70,4.445646365268199E-6
115,1.0000000000000001E-7,85,4.044394743700454E-8
115,1.0E-9,108,4.31178862531858E-10
125,0.001,41,5.733449878240756E-4
125,1.0E-5,66,4.4211395660192595E-6
125,1.0000000000000001E-7,97,3.87418321056766E-8
125,1.0E-9,119,3.914199648729163E-10
135,0.001,41,5.773010004721156E-4
135,1.0E-5,66,4.553570527114759E-6
135,1.0000000000000001E-7,95,3.846832020627859E-8
135,1.0E-9,116,4.0775142442665506E-10
145,0.001,42,5.053563394633145E-4
145,1.0E-5,68,4.540158376313974E-6
145,1.0000000000000001E-7,94,4.3910725143566106E-8
145,1.0E-9,113,4.519522948018797E-10
155,0.001,45,4.4480974179155435E-4
155,1.0E-5,60,6.347066465447094E-6
155,1.0000000000000001E-7,80,5.1821843855071547E-8
155,1.0E-9,120,4.1030364402550594E-10
165,0.001,42,5.118891557335776E-4
165,1.0E-5,66,4.318925470145533E-6
165,1.0000000000000001E-7,91,4.1667129358632006E-8
165,1.0E-9,112,3.844448817243495E-10
175,0.001,46,4.425610976627201E-4
175,1.0E-5,61,5.446049074984618E-6
175,1.0000000000000001E-7,95,4.411088620360507E-8
175,1.0E-9,113,4.4941242662404733E-10
185,0.001,46,4.689500608748559E-4
185,1.0E-5,70,4.063303404130802E-6
185,1.0000000000000001E-7,96,4.029087540338963E-8
185,1.0E-9,122,4.191407742142712E-10
195,0.001,46,4.4019441171390915E-4
195,1.0E-5,64,4.1834263061705196E-6
195,1.0000000000000001E-7,95,4.223645375001498E-8
195,1.0E-9,116,4.011412438982992E-10
205,0.001,42,6.066070457301931E-4
205,1.0E-5,64,4.844551690327037E-6
205,1.0000000000000001E-7,93,3.953975285391465E-8
205,1.0E-9,100,5.345771610436868E-10
215,0.001,42,5.724359229257164E-4
215,1.0E-5,63,5.058346104087302E-6
215,1.0000000000000001E-7,95,3.862753195242797E-8
215,1.0E-9,123,4.096062185129338E-10
225,0.001,44,4.707231568456722E-4
225,1.0E-5,69,4.389181109504619E-6
