N,precission,numberOfIterations,distance
5,0.001,50,6.51339197522134E-5
5,1.0E-5,70,5.954827094786776E-7
5,1.0000000000000001E-7,91,6.808563356496883E-9
5,1.0E-9,119,6.52249358844891E-11
15,0.001,47,6.680584359342471E-5
15,1.0E-5,73,5.918586443038481E-7
15,1.0000000000000001E-7,95,6.30603596620769E-9
15,1.0E-9,126,6.238611205387294E-11
25,0.001,45,9.65059656961548E-5
25,1.0E-5,73,6.506419199914522E-7
25,1.0000000000000001E-7,107,5.897540027609618E-9
25,1.0E-9,117,5.973266068554234E-11
35,0.001,55,6.28576536731258E-5
35,1.0E-5,65,1.0305068882074779E-6
35,1.0000000000000001E-7,101,6.271621133471863E-9
35,1.0E-9,124,6.641417890936646E-11
45,0.001,52,6.967683112620383E-5
45,1.0E-5,77,5.946982866745183E-7
45,1.0000000000000001E-7,94,5.76730803835871E-9
45,1.0E-9,131,6.236553674486017E-11
55,0.001,50,7.499206568713575E-5
55,1.0E-5,74,6.035504744783073E-7
55,1.0000000000000001E-7,102,6.819978451977652E-9
55,1.0E-9,116,6.089989927883017E-11
65,0.001,49,7.555493583511857E-5
65,1.0E-5,73,6.945321613450892E-7
65,1.0000000000000001E-7,94,6.110249426138172E-9
65,1.0E-9,127,6.717154516112157E-11
75,0.001,48,8.310662321563231E-5
75,1.0E-5,75,6.149811778002965E-7
75,1.0000000000000001E-7,97,6.580380558172306E-9
75,1.0E-9,130,6.642287661069284E-11
85,0.001,50,6.890284726572725E-5
85,1.0E-5,79,6.794392132033287E-7
85,1.0000000000000001E-7,108,6.181161311611873E-9
85,1.0E-9,130,6.29625755689161E-11
95,0.001,48,9.026532951304627E-5
95,1.0E-5,77,6.708956063563749E-7
95,1.0000000000000001E-7,87,8.220739132846638E-9
95,1.0E-9,124,6.402667369583365E-11
105,0.001,48,9.508671843699977E-5
105,1.0E-5,80,5.939731426309155E-7
105,1.0000000000000001E-7,103,6.747294522566591E-9
105,1.0E-9,132,6.790684516909222E-11
115,0.001,54,6.249607497980449E-5
115,1.0E-5,67,1.0298181020543703E-6
115,1.0000000000000001E-7,105,5.894964015065113E-9
115,1.0E-9,130,5.7738621300369486E-11
125,0.001,56,6.071273221000116E-5
125,1.0E-5,68,8.451146893095335E-7
125,1.0000000000000001E-7,102,6.009927350693967E-9
125,1.0E-9,127,6.077751964920457E-11
135,0.001,55,6.222760571541322E-5
135,1.0E-5,82,6.293620361021383E-7
135,1.0000000000000001E-7,107,5.840082570130443E-9
135,1.0E-9,123,5.8064102574086364E-11
145,0.001,52,7.075976996768085E-5
145,1.0E-5,69,7.291548754633182E-7
145,1.0000000000000001E-7,99,6.495600218967804E-9
145,1.0E-9,121,5.972569731728964E-11
155,0.001,55,6.163034754175355E-5
155,1.0E-5,68,9.569190127972872E-7
155,1.0000000000000001E-7,101,6.158996011223227E-9
155,1.0E-9,126,6.782164050116302E-11
165,0.001,52,6.490962403587767E-5
165,1.0E-5,79,6.720370973884226E-7
165,1.0000000000000001E-7,107,5.712478736442079E-9
165,1.0E-9,130,5.7972705901073076E-11
175,0.001,50,7.873900377618995E-5
175,1.0E-5,79,6.784306790525646E-7
175,1.0000000000000001E-7,88,8.247735541823055E-9
175,1.0E-9,127,5.938744982995469E-11
185,0.001,56,6.37089795495228E-5
185,1.0E-5,81,5.724497895464058E-7
185,1.0000000000000001E-7,105,5.816453973422651E-9
185,1.0E-9,130,5.749595672112519E-11
195,0.001,51,7.446626186397296E-5
195,1.0E-5,74,6.718080663984468E-7
195,1.0000000000000001E-7,105,6.650848013671781E-9
195,1.0E-9,128,6.624904834270841E-11
205,0.001,51,7.577980236380708E-5
205,1.0E-5,71,7.304519724236509E-7
205,1.0000000000000001E-7,99,6.1255537008357086E-9
205,1.0E-9,128,5.752153972491725E-11
215,0.001,52,7.483836870061398E-5
215,1.0E-5,80,6.251684203513851E-7
215,1.0000000000000001E-7,97,5.867128712389633E-9
215,1.0E-9,119,5.952629143608653E-11
225,0.001,50,9.289354669011259E-5
225,1.0E-5,80,6.379829621090378E-7
225,1.0000000000000001E-7,103,6.252606302699422E-9
225,1.0E-9,126,5.848452366287195E-11
235,0.001,56,6.100392914080422E-5
235,1.0E-5,76,6.02950679909265E-7
235,1.0000000000000001E-7,105,6.030790389585319E-9
235,1.0E-9,126,6.181725010589741E-11
245,0.001,51,7.541057688120995E-5
245,1.0E-5,79,6.205341794442516E-7
245,1.0000000000000001E-7,108,5.97393055379804E-9
245,1.0E-9,125,6.020280902149759E-11
255,0.001,52,7.5599794162062E-5
255,1.0E-5,82,5.974112301991198E-7
255,1.0000000000000001E-7,102,6.068639808808717E-9
255,1.0E-9,125,6.349756354952905E-11
265,0.001,55,6.545800978482957E-5
265,1.0E-5,77,6.052606981804395E-7
265,1.0000000000000001E-7,105,5.747888076600994E-9
265,1.0E-9,121,6.747885012224043E-11
275,0.001,54,6.892136389282558E-5
275,1.0E-5,77,6.274813816608309E-7
275,1.0000000000000001E-7,99,6.368500793812602E-9
275,1.0E-9,131,6.401249812622442E-11
285,0.001,53,7.480721093725279E-5
285,1.0E-5,81,5.854126098286835E-7
285,1.0000000000000001E-7,99,6.767196756993291E-9
285,1.0E-9,129,6.726622409877904E-11
295,0.001,51,8.892709455267934E-5
295,1.0E-5,72,6.712183181658552E-7
295,1.0000000000000001E-7,102,6.6969191581810845E-9
295,1.0E-9,124,6.126945318742764E-11
305,0.001,53,6.792664951937618E-5
305,1.0E-5,80,5.937529739458868E-7
305,1.0000000000000001E-7,102,6.749055644184926E-9
305,1.0E-9,130,6.228073298506438E-11
315,0.001,51,8.924713079817438E-5
315,1.0E-5,76,6.264382870980899E-7
315,1.0000000000000001E-7,103,6.283568753951352E-9
315,1.0E-9,133,6.531223584962215E-11
325,0.001,51,8.056959440551706E-5
325,1.0E-5,76,5.882673247709438E-7
325,1.0000000000000001E-7,107,6.535204162991824E-9
325,1.0E-9,123,6.79941005424433E-11
335,0.001,56,5.938068265978577E-5
335,1.0E-5,77,6.858292151481085E-7
335,1.0000000000000001E-7,107,6.332512324693047E-9
335,1.0E-9,123,6.028352008340134E-11
345,0.001,52,7.839727081130379E-5
345,1.0E-5,79,6.148334272129963E-7
345,1.0000000000000001E-7,102,6.043514234642088E-9
345,1.0E-9,120,5.699540840780129E-11
355,0.001,51,8.975755303271942E-5
355,1.0E-5,81,6.435811317033908E-7
355,1.0000000000000001E-7,94,6.296067191149231E-9
355,1.0E-9,114,6.146746104359722E-11
365,0.001,51,8.517958189923066E-5
365,1.0E-5,79,6.600516609456809E-7
365,1.0000000000000001E-7,106,6.7605264829344175E-9
365,1.0E-9,129,5.885951781714686E-11
375,0.001,51,8.948127143657415E-5
375,1.0E-5,76,6.750114901112299E-7
375,1.0000000000000001E-7,101,6.146479619497101E-9
375,1.0E-9,126,6.455649164974164E-11
385,0.001,55,7.144511361400863E-5
385,1.0E-5,81,6.637773216304942E-7
385,1.0000000000000001E-7,108,5.744176535476976E-9
385,1.0E-9,119,5.873597140309344E-11
395,0.001,56,6.736371097070571E-5
395,1.0E-5,75,6.329266810597302E-7
395,1.0000000000000001E-7,106,6.312909531032636E-9
395,1.0E-9,127,6.301575114580903E-11
405,0.001,54,7.380697793394195E-5
405,1.0E-5,71,8.217523959794237E-7
405,1.0000000000000001E-7,107,6.396339735655113E-9
