N,precission,omega,sor_iterations,jacobi_iterations
5,1.0E-9,0.1,751,107
10,0.001,0.1,162,37
5,1.0E-9,0.2,370,107
5,1.0E-9,0.30000000000000004,238,107
5,1.0E-9,0.4,170,107
5,0.001,0.1,161,34
5,1.0E-9,0.5,128,107
5,0.001,0.2,93,34
5,1.0E-9,0.6,99,107
5,1.0E-9,0.7,77,107
5,1.0E-9,0.7999999999999999,57,107
5,1.0E-9,0.8999999999999999,49,107
5,1.0E-9,0.9999999999999999,41,107
5,1.0E-9,1.0999999999999999,33,107
5,1.0E-9,1.2,23,107
5,1.0E-9,1.3,22,107
5,1.0E-9,1.4000000000000001,27,107
5,1.0E-9,1.5000000000000002,36,107
5,1.0E-9,1.6000000000000003,47,107
5,1.0E-9,1.7000000000000004,66,107
5,1.0E-9,1.8000000000000005,105,107
5,1.0E-9,1.9000000000000006,222,107
10,0.001,0.2,92,37
10,0.001,0.30000000000000004,64,37
10,0.001,0.4,48,37
10,0.001,0.5,38,37
10,0.001,0.6,31,37
10,0.001,0.7,26,37
10,0.001,0.7999999999999999,22,37
10,0.001,0.8999999999999999,19,37
10,0.001,0.9999999999999999,16,37
10,0.001,1.0999999999999999,14,37
5,1.0000000000000001E-7,0.1,523,82
10,0.001,1.2,12,37
5,1.0000000000000001E-7,0.2,264,82
5,1.0000000000000001E-7,0.30000000000000004,172,82
5,1.0000000000000001E-7,0.4,125,82
5,1.0000000000000001E-7,0.5,95,82
5,1.0000000000000001E-7,0.6,75,82
5,1.0000000000000001E-7,0.7,60,82
5,1.0000000000000001E-7,0.7999999999999999,49,82
5,1.0000000000000001E-7,0.8999999999999999,39,82
5,1.0000000000000001E-7,0.9999999999999999,32,82
5,1.0000000000000001E-7,1.0999999999999999,24,82
5,1.0000000000000001E-7,1.2,17,82
5,1.0000000000000001E-7,1.3,16,82
5,1.0000000000000001E-7,1.4000000000000001,20,82
5,1.0000000000000001E-7,1.5000000000000002,26,82
5,1.0000000000000001E-7,1.6000000000000003,35,82
5,1.0000000000000001E-7,1.7000000000000004,50,82
5,1.0000000000000001E-7,1.8000000000000005,80,82
5,1.0000000000000001E-7,1.9000000000000006,166,82
10,1.0000000000000001E-7,0.1,712,82
5,1.0E-5,0.1,370,56
5,0.001,0.30000000000000004,65,34
10,1.0000000000000001E-7,0.2,357,82
5,0.001,0.4,49,34
5,0.001,0.5,39,34
5,0.001,0.6,32,34
5,0.001,0.7,26,34
5,0.001,0.7999999999999999,22,34
5,0.001,0.8999999999999999,18,34
5,0.001,0.9999999999999999,15,34
5,0.001,1.0999999999999999,12,34
5,0.001,1.2,9,34
5,0.001,1.3,9,34
5,0.001,1.4000000000000001,10,34
5,0.001,1.5000000000000002,13,34
5,0.001,1.6000000000000003,18,34
5,0.001,1.7000000000000004,25,34
5,0.001,1.8000000000000005,40,34
5,0.001,1.9000000000000006,82,34
10,1.0E-9,0.1,872,97
10,1.0E-5,0.1,368,56
10,0.001,1.3,11,37
5,1.0E-5,0.2,192,56
10,1.0E-5,0.2,188,56
10,0.001,1.4000000000000001,13,37
10,1.0E-5,0.30000000000000004,122,56
10,1.0E-5,0.4,87,56
10,1.0E-9,0.2,435,97
10,0.001,1.5000000000000002,15,37
10,1.0E-5,0.5,67,56
10,0.001,1.6000000000000003,20,37
10,1.0E-5,0.6,56,56
10,0.001,1.7000000000000004,27,37
10,1.0E-5,0.7,48,56
10,0.001,1.8000000000000005,42,37
10,1.0E-5,0.7999999999999999,41,56
10,0.001,1.9000000000000006,89,37
10,1.0E-5,0.8999999999999999,35,56
5,1.0E-5,0.30000000000000004,127,56
10,1.0E-5,0.9999999999999999,29,56
5,1.0E-5,0.4,93,56
5,1.0E-5,0.5,72,56
5,1.0E-5,0.6,57,56
10,1.0000000000000001E-7,0.30000000000000004,232,82
10,1.0E-9,0.30000000000000004,283,97
10,1.0000000000000001E-7,0.4,167,82
10,1.0E-9,0.4,205,97
10,1.0000000000000001E-7,0.5,128,82
10,1.0E-9,0.5,157,97
10,1.0000000000000001E-7,0.6,100,82
10,1.0E-9,0.6,124,97
10,1.0000000000000001E-7,0.7,80,82
10,1.0E-9,0.7,100,97
10,1.0000000000000001E-7,0.7999999999999999,65,82
10,1.0E-9,0.7999999999999999,81,97
10,1.0000000000000001E-7,0.8999999999999999,52,82
10,1.0E-9,0.8999999999999999,66,97
10,1.0000000000000001E-7,0.9999999999999999,41,82
10,1.0E-9,0.9999999999999999,53,97
10,1.0E-9,1.0999999999999999,41,97
10,1.0E-9,1.2,33,97
10,1.0E-9,1.3,30,97
10,1.0E-9,1.4000000000000001,33,97
10,1.0E-9,1.5000000000000002,41,97
10,1.0E-9,1.6000000000000003,53,97
10,1.0E-9,1.7000000000000004,75,97
10,1.0E-9,1.8000000000000005,116,97
